number of bedrooms,number of bathrooms,living area,lot area,number of floors,Area of the basement,living_area_renov,lot_area_renov,Distance from the airport,Price,condition of the house
5,2.75,3190,16920,1,1500,3100,13100,53,1030000,3
3,1,1330,77972,1,0,1340,17689,52,900000,3
4,4.25,4420,5750,2,1010,4420,5750,57,890000,3
5,3.5,4490,6000,2,1290,4530,6000,70,890000,3
4,3,3690,9892,2,0,3430,11294,62,865000,3
4,2.75,2600,5390,1,1300,2550,5600,69,855000,4
4,3,2170,4000,2,560,1670,4000,73,831000,4
4,2.5,3400,9692,2,0,3070,7375,58,830000,3
6,1.75,2920,5000,2.5,140,2020,5000,68,823000,4
5,2.5,3180,13806,2,0,3180,13798,76,800866,4
3,2.5,3240,7857,2,0,2970,7857,66,800000,3
3,1.75,1330,7500,1,0,1690,7800,56,787000,3
4,2.5,2730,10281,2,0,2750,7220,79,780000,3
3,2,2350,5700,1.5,540,2170,6000,77,770000,4
4,2.5,2120,10202,1,500,1570,10762,73,755000,4
4,1.75,2010,3600,1.5,0,2010,3600,55,740000,3
4,2.5,3180,21904,2,0,3715,29170,77,736500,3
4,2.5,2450,4247,2,0,2970,4685,75,712198,3
3,2.5,2490,4343,2,0,2130,4106,59,705380,3
3,2.5,1680,2000,3,0,1950,5000,69,670000,3
4,2.5,2800,5900,1,1140,2580,5900,63,665000,3
4,1,1390,4240,1,340,1810,4240,68,657100,3
3,1.5,2160,9000,1,760,3010,9000,75,650000,4
4,2.5,2440,6651,2,0,1350,7653,77,631625,3
4,2.25,1990,7712,1,780,1720,7393,61,627000,3
3,1.75,1480,2185,2.5,0,1480,2441,52,620000,3
3,2,1800,5000,1,720,1800,5000,69,618500,4
4,1.75,2300,11700,1,340,2840,12000,50,615000,4
3,1.75,1670,39639,1,0,2330,30492,77,600000,4
3,1.75,1880,6360,1,840,1770,6175,57,600000,4
2,1,1770,8640,1.5,250,1060,4804,77,585000,3
2,1,2540,7000,1,1220,2160,6000,77,580000,5
3,2.25,2010,6000,1,680,2080,8260,78,570000,3
3,2.5,1900,8744,2,0,2030,8744,58,560000,3
3,2.5,1940,3211,2,0,1880,3078,60,555000,3
2,1,1140,5400,1,0,1520,4800,68,549000,5
4,2.5,2910,6338,2,0,2500,5877,54,549000,3
5,2.75,2740,8426,1,1370,2020,8783,69,541125,4
2,3,1270,1175,2,160,1290,1800,71,531000,3
5,1.75,2550,71874,1,740,2170,51400,65,525888,5
3,1.75,1560,5520,1,780,1470,6000,70,524000,4
3,2.5,1790,2700,2,0,1890,3078,79,509900,3
4,1,2070,7519,1,910,1730,7519,56,501000,3
4,2.5,2910,6479,2,0,2320,5178,50,499000,3
6,2.75,3200,9200,1,1600,2220,9500,56,497300,4
4,1.75,2010,9211,1,540,1840,8500,62,487585,3
4,3,2340,7048,1,1000,1440,8088,53,485000,4
3,2.5,3040,4535,2,0,2670,4666,79,478000,3
4,2,1480,3844,1.5,0,1480,3844,73,449250,5
5,2,1840,9240,1,300,1200,5250,78,435000,4
2,2.5,1590,1426,2,0,1590,1426,80,419190,3
3,2,1410,6030,1.5,0,1410,6300,51,418000,4
3,2.5,1408,989,3,0,1408,1342,64,416286,3
3,2.25,1620,998,2.5,80,1620,1299,59,415000,3
3,2.25,1800,36704,1,440,2730,36404,74,410000,4
3,2.25,1410,1332,3,0,1430,1448,70,406100,3
2,3,1410,1240,2,270,1410,1273,74,405000,3
2,1.75,2110,9519,1,0,1480,9519,77,400000,2
2,1,840,5510,1,0,1630,5510,79,400000,3
3,2.5,2230,4000,2,0,1310,4000,78,398750,3
5,2.5,3090,12750,1,1340,1760,25919,63,384900,3
4,1.75,1970,9389,1,830,1820,8135,72,379950,5
3,3,1571,10800,3,0,1520,1497,62,366750,3
5,1,1120,9022,1.5,0,1310,7500,69,340000,4
2,1.5,1160,1438,2,0,1220,1740,72,340000,3
2,1,1140,5250,1.5,0,1450,5250,65,329950,4
4,2.5,2370,6500,2,0,2590,6137,60,328000,3
4,2.75,2310,5000,2,0,1980,5000,68,309950,3
3,2.5,1880,7838,2,0,1810,7915,52,309950,3
3,2,1050,10072,1,0,1130,10087,56,300000,3
3,1,1450,6000,1,0,1170,6464,61,287000,4
3,2,1550,15040,1,0,1510,41416,65,249950,4
3,1.75,1920,9306,1,920,1860,8458,54,245000,3
2,1,1200,8063,1,0,1200,7500,56,232000,4
4,1.5,1240,9600,1,0,1240,9592,52,220000,3
4,1.5,1120,5427,1,0,1150,5304,77,219900,3
3,1,1340,306848,1,0,1800,128066,58,210000,3
5,2,2050,10200,1,620,1940,8625,73,210000,3
2,1,810,7158,1,0,1090,7158,75,206000,5
3,1.75,1490,10125,1,0,2488,4981,55,184000,4
5,4,4510,15175,2,0,3510,13500,65,1870000,3
5,5,4490,10279,2,560,2490,10279,68,1800000,3
4,3.25,3760,10920,1.5,1360,3430,11050,62,1580000,5
4,2.25,3490,6906,2,1210,2540,6223,61,1230000,4
4,2.75,3370,8103,1,1400,2120,6360,60,1140000,3
3,2.5,2200,1970,2,590,1890,3505,65,1050000,3
3,2.5,2690,4047,3,0,2040,5000,65,979000,3
3,3.5,3020,4082,2,940,2060,5102,60,910000,3
4,2,3740,32417,2,0,3180,32417,73,860000,3
4,2.5,3040,6425,2,0,3040,7800,57,776000,3
4,2.5,3880,14550,2,0,3240,14045,55,762300,3
4,2.5,2290,12047,2,0,3130,15666,50,736000,4
4,2.5,3200,12369,2,0,3770,12960,61,725126,3
4,2.5,3030,7864,2,0,2790,7034,74,685000,3
2,1,930,36478,1,0,2800,11141,79,675000,3
4,3.5,3380,8330,2,0,2220,8330,76,655500,3
3,1.5,1630,7475,1,470,2320,7475,65,650000,3
5,3.5,3480,36615,2,990,2540,35910,66,650000,4
4,2,2060,5000,1,1030,1280,5000,66,612500,3
4,3,2450,10117,1,870,2530,10125,78,610000,5
4,2.5,2150,37981,2,0,2450,37981,69,609000,3
4,2.5,2110,13850,2,0,2520,10194,50,606000,3
4,2.25,2260,29930,2,860,2770,29930,58,599000,4
4,3.25,3569,8327,2,0,2550,5251,69,580000,3
3,1.75,2130,6500,1,960,2020,5000,58,575000,3
4,3,3100,15480,2,700,2000,42500,67,563000,3
5,2.25,3040,8111,2,0,2020,8304,72,562000,3
3,2,2000,5500,2,0,1840,7000,62,561000,3
3,2.5,1850,10109,2,0,1780,9660,56,535000,3
5,2.75,1800,3780,1.5,400,1400,3780,79,533000,3
5,2.5,2910,5133,1,1220,2830,10385,54,530000,4
3,2.5,2970,11985,1,1200,2990,12049,70,525000,3
3,2.5,2460,54885,2,0,2770,21407,77,520000,4
3,1.5,1430,8000,1,0,1450,8000,78,518000,4
3,2.5,1790,7167,2,0,1680,7418,71,515000,3
4,2.5,2000,5684,2,0,2210,7066,72,513000,3
3,2.5,1480,1171,3,0,1480,1231,56,500000,3
2,1.75,1170,2400,1,430,1570,3919,54,499000,4
5,2,2020,5000,1.5,0,1510,6600,57,488000,4
3,2,1420,4080,1.5,0,1420,4590,55,485000,3
2,1.75,1660,6000,1,500,1660,4000,76,484000,3
4,2.5,2740,45732,2,0,2080,43560,70,483500,3
6,3,3470,117612,1.5,0,2120,17100,65,475000,3
2,1,1030,4400,1,0,1400,4200,61,469000,3
3,2.25,1970,11088,1,790,1970,10470,56,465000,4
2,2.25,1230,929,2,210,1270,1370,73,460000,3
5,2.5,2240,7770,1,900,1820,7770,52,455000,3
2,2,1100,3000,1.5,0,1390,4000,70,450000,3
4,2,1520,7983,1,0,1520,7783,60,425000,5
4,2.25,2810,23400,1,1100,1860,14900,71,407000,3
4,1.75,1840,10720,1,880,1840,9044,64,404000,3
4,2,1440,7680,1,240,1460,9660,66,397000,3
3,1.75,1260,6500,1,0,1500,7700,51,390000,4
5,3.75,2890,5000,1,1580,1930,5117,72,390000,3
3,1,1230,9568,1,0,1270,9575,56,387000,5
3,1.75,1900,5520,1,620,1330,5196,50,385000,3
4,1.75,1500,11600,1,500,1740,11600,65,379900,4
3,2,1270,1320,3,0,1370,1320,59,369950,3
3,1.5,1410,9647,1,0,2090,9272,78,367500,3
3,1.5,1310,8160,1,0,1090,7560,69,365000,3
3,2.25,1640,14374,1,500,2020,10500,70,362000,4
4,2,2680,18768,1,0,1230,15750,54,360000,5
3,1,1350,7740,1,490,1130,7740,64,353000,4
4,2.5,2331,3826,2,0,2441,3826,65,345000,3
3,1,1110,6250,1,0,2010,6944,61,345000,3
2,1,720,6687,1,0,840,6687,53,329350,3
4,2.5,1890,12040,1,910,1590,6954,78,325000,3
3,1,1510,6083,1,650,1510,5712,73,313950,4
4,2,1300,7054,1,0,1560,7100,64,312000,3
3,2.25,1980,8000,1,420,2360,8000,51,295000,4
4,2.5,2000,5390,2,0,2330,5390,73,284000,3
3,1.75,1630,11800,1,0,2090,57428,75,280000,4
3,1.75,1580,8151,1,480,1650,8151,79,279900,4
3,2.5,1650,13816,2,0,1650,15144,61,272000,3
3,1,1050,6874,1,0,1500,8954,53,250000,3
3,1.75,1490,8366,1,480,1490,7469,74,234000,4
2,1,900,5160,1,0,900,5160,68,219000,3
3,1.75,1850,7684,1,530,1940,7630,55,218000,3
3,1.75,1690,7735,1,630,1580,7503,52,197000,4
3,1.5,800,8850,1,0,820,8775,50,191000,4
3,1,1010,7034,1,0,1440,10994,50,175000,3
3,1.5,1420,8580,1,0,1200,8580,71,136500,3
2,1,780,16344,1,0,1700,10387,51,78000,1
7,4.5,6210,8856,2.5,1450,2940,5400,64,3200000,5
5,4.5,4270,8076,2,870,4100,10631,72,1530000,3
6,2.5,3560,6480,2.5,0,2780,6480,66,1500000,4
3,3,2960,5500,2,520,2960,5876,80,1340000,3
4,4,4460,103382,2,0,3470,88519,77,1150000,3
4,1.5,2310,13300,1,420,2840,12744,61,1110000,3
4,3.5,3900,8391,2,0,3820,12268,73,1040000,3
4,2.25,1890,5940,1,420,2430,5940,62,940000,3
5,3.75,4130,226076,2,960,4130,55321,55,900000,3
4,2,2210,8556,1,1000,2190,7975,65,794154,4
3,2,2540,7200,1.5,940,2040,5900,72,775000,4
4,2.75,2410,9549,1,630,2090,9549,63,758000,4
3,2.75,2520,23790,1,1160,1800,5036,80,750000,4
4,2.75,2600,6050,2,640,1990,6050,78,749950,5
4,2.5,2650,4316,1.5,1130,1690,5625,53,705000,3
3,2,1760,6428,1,780,1760,6004,74,690000,4
3,1.75,1680,10500,1,0,2250,10400,70,675000,4
4,4,3680,18804,2,0,3200,15954,79,675000,3
3,2.5,3240,108366,2,0,2090,108366,71,651000,4
3,3,2270,5175,2,140,2850,5661,62,640000,3
3,2.5,2680,327135,2,0,2020,60080,55,630000,3
2,2.25,2550,5663,1,830,2560,3828,80,630000,3
3,2.5,2030,6500,2,0,2030,8485,66,618080,3
3,3,1680,1570,3,0,1640,4800,62,610950,3
3,2.5,2460,108900,1,600,2870,102366,55,600000,4
9,4.5,3830,6988,2.5,1380,1460,6291,62,599999,3
3,1.75,1960,4788,1,870,1960,3960,66,599000,4
4,2,2510,13695,1,1230,1220,12500,74,581000,4
4,2,1650,5000,1,0,1690,2276,53,575000,3
3,2,2350,5080,1.5,570,1700,5080,65,568000,3
3,3,4120,60392,2,940,2770,64033,51,560000,3
3,2,1860,13374,1,0,1960,9797,57,560000,3
7,5.75,3700,7647,2,0,2510,7479,65,540000,3
3,1.75,2720,149410,1.5,0,2560,149410,58,535000,3
3,2.5,2280,2289,2,400,2280,2425,65,535000,3
3,1,1340,4284,1,260,1960,4080,71,530000,3
2,2,1550,2400,1.5,0,1180,1224,66,526000,4
3,2.25,1170,1249,3,0,1350,1310,59,519950,3
3,1.75,1580,9147,1,370,2600,23564,62,515000,4
4,2.5,2430,5203,2,0,2260,7474,58,510000,3
3,2.75,1540,6760,1,330,1540,7416,67,503000,5
2,1,1010,3885,1.5,0,1770,4200,65,500000,4
3,2.5,1940,37565,1,0,2560,37565,69,500000,4
3,1,990,6000,1,0,1250,6000,57,495000,3
4,2.75,2656,21195,2,0,1860,16510,72,495000,3
4,2.5,3305,16164,1.5,1060,1620,8883,58,492000,5
3,2,1610,4160,1,600,1040,4400,70,485000,4
4,2.5,2180,11200,1,0,1790,11200,76,480500,4
2,1,820,2723,1,0,1370,3850,80,475000,3
3,2,1760,9055,2,0,2010,9383,61,460000,4
3,1.75,1500,6180,1,440,1740,6180,68,440000,4
2,2,1350,3900,1,0,1440,3900,80,428000,3
2,2.5,1150,1027,3,0,1360,1210,61,425000,3
2,1.5,1040,3500,1.5,0,1340,1213,72,420000,4
3,2.25,1770,8165,2,0,1650,8165,73,420000,3
3,2.25,1606,1452,3,0,1516,1939,71,417250,3
4,3,1830,9548,2,0,1740,9750,66,415000,3
4,2.75,2140,13000,1,820,2360,11000,67,409500,3
3,2.25,1660,8307,1,0,2510,7800,74,405000,4
5,1.75,3000,6000,1,1500,2230,7125,66,380000,5
2,1,1640,17335,1,800,2440,17850,66,379500,3
3,2.5,1830,13042,2,0,1940,6996,50,375000,3
5,2.75,2410,5003,1,1000,1590,5003,78,365000,3
2,1,820,6400,1,0,1490,6400,66,361280,4
5,2.5,2420,8560,1,800,2210,7040,55,352000,3
3,1,1010,9360,1,0,1470,9360,67,350000,3
3,2.25,1630,12295,2,0,1730,9948,59,339950,4
2,1,820,681,3,0,820,1156,56,339950,3
3,2,1570,7200,1,0,1410,7434,59,335000,4
3,1,1040,16986,1,0,1660,16986,76,314950,4
3,1.75,1870,12381,1,0,1950,12667,77,314500,4
3,1.75,2190,1716,1,0,1980,8000,66,313000,4
3,1.75,1840,10723,1,620,1590,9820,62,310000,4
3,1.75,2070,37904,1,650,2011,19110,76,310000,4
3,2.5,1600,3573,2,0,1500,11089,73,305450,3
2,1,760,3001,1,0,1750,5000,73,300000,3
3,2.5,1600,4271,2,0,1700,4746,62,280000,3
3,2.5,1600,7000,2,0,1700,7000,56,275000,4
5,1.5,1500,7112,1,740,1200,7112,63,265000,5
5,2.25,2060,8632,1,1030,1010,11680,60,255000,3
3,1.75,1250,10122,1,0,1980,10175,53,253000,3
1,1,1100,4373,1,280,1100,7500,62,250000,2
3,1,1110,8423,1,0,1140,9083,69,249000,3
4,1.75,1720,10018,1,0,1220,10018,66,248500,5
3,1,1400,7410,1,0,1070,7410,61,246000,3
3,1.5,1260,1270,2,220,1260,1472,65,245000,3
3,2,1410,7566,1,0,1570,7210,73,239900,3
3,2.5,1920,9180,2,0,1930,7252,80,230000,3
3,1.75,1640,10762,1,510,1680,10259,78,226500,3
3,1.5,1380,11130,1,0,1380,9200,78,209950,3
4,1,1490,6600,1,0,1280,6600,68,185000,3
2,1,1040,13100,1,0,910,5080,66,160000,5
2,1,910,22000,1,0,1326,9891,79,100000,3
6,3,3510,5760,2.5,0,3450,5760,55,1750000,4
3,1.75,2430,12757,1,1090,2930,12450,59,1500000,4
5,3.25,2800,3200,1.5,890,2450,3500,79,1310000,5
4,3.25,3820,24166,2,510,2900,18786,72,1250000,4
4,3,2920,33976,1,1460,2970,15210,67,1050000,5
4,1,3410,5000,2,1220,2550,5000,58,1040000,5
3,2.75,2015,16807,2,0,1780,12310,71,988500,3
5,2.5,3160,11470,1,1380,3260,11470,52,980000,4
3,3.25,2640,4080,2,800,1990,4080,78,930000,3
3,2.5,2920,3942,3,0,2920,3942,65,868500,3
4,2,1910,6960,1.5,0,1360,3300,63,835000,5
5,3,3040,9601,1,1070,3180,12390,50,830000,5
3,2.75,3010,1842,2,0,2950,4200,58,785000,3
4,1.75,2480,9195,1,1090,2440,9195,75,780000,3
4,2.5,2660,5500,2,0,3620,5500,64,753888,3
3,2.5,1690,4500,1.5,0,2140,7200,51,719000,4
4,2.5,3290,6465,2,0,3100,5929,63,716500,3
3,1,1250,4620,1.5,100,1900,4400,60,712000,4
3,1.75,1320,5750,1.5,0,1440,5750,52,660000,5
4,1.75,2060,26036,1,900,2590,21891,69,647500,4
2,1.75,1230,3600,1.5,0,1210,4500,79,636000,5
2,1,1540,6872,1,720,1420,5538,72,615000,4
3,2.5,1750,3354,2,0,1750,4286,66,595000,4
2,3,3160,66646,2,0,3140,38790,60,589900,3
4,2.25,2250,41688,2,0,2350,37920,55,569000,3
2,2,1870,4950,1,0,1670,4800,76,559950,3
2,2.5,1360,1349,2,310,1430,4400,65,553650,3
3,2.25,1780,191228,2,0,2440,87120,68,545000,3
6,2.25,2820,15600,1.5,850,2520,7797,62,543200,5
4,1.75,1840,9600,1,620,1770,9720,78,538000,3
4,2.5,2550,4630,2,0,2550,5151,69,537500,3
4,2.5,2280,65836,2,0,2300,97574,65,535000,3
3,1,1670,4080,1,500,1560,4080,62,533000,3
3,1.75,1980,6760,1,0,2120,7280,77,530000,4
4,2.75,2280,2850,1.5,740,1680,3800,50,530000,4
3,2.25,2430,73151,1,0,2800,39250,53,524000,3
2,1,1060,4960,1,0,1420,4960,57,515000,3
3,1.75,1410,1197,3,0,1350,2512,54,500000,3
2,1.5,1110,957,2,180,1680,1104,56,499000,3
3,2.5,2310,6250,2,0,2440,4711,58,494000,3
5,2.25,2440,20828,1.5,0,2670,14472,50,489990,4
3,2,1510,43560,1,0,2060,67756,78,450000,3
2,1.5,1020,1060,3,0,1340,1415,69,441750,3
2,1,980,1179,2,0,1190,1600,77,438000,3
3,1.75,1310,9282,1,0,1310,8748,68,437000,4
3,1.75,1460,7700,1,0,1720,7280,63,424500,3
3,2.5,1540,3200,3,70,1540,1418,53,413450,3
2,1,1020,8155,1,0,1430,8157,69,405000,4
3,2.75,2090,8354,2,0,2280,6348,60,403000,3
3,2.5,1960,8000,1,670,1960,8000,66,402000,4
3,1.75,1890,9920,1,660,1380,9086,75,385000,3
6,2.25,3206,5793,2,0,2527,5804,77,375000,3
2,1.5,960,1808,2,0,1290,1668,68,358000,3
4,1.75,2250,13515,1,100,2150,12508,58,350000,4
3,1.75,1590,9620,1,0,2980,9398,66,349000,3
4,2.5,2460,7350,2,0,2390,8568,76,347500,3
3,1.5,2240,87625,1.5,760,1920,110206,63,335000,2
2,2,1550,435600,1.5,0,1600,217800,75,330000,2
4,2.5,2320,6270,2,0,2150,6270,51,325900,3
2,1.25,860,1277,2,0,1280,1265,52,321950,3
3,1.75,1890,1716,1,0,1500,14536,74,307000,5
3,2,1240,10800,1,0,1480,8840,74,297950,3
2,1.75,2200,89298,1,1100,2590,89298,74,295000,3
3,2.5,1920,7229,2,0,2310,8009,64,295000,3
4,2.5,1810,6509,2,0,1760,7417,59,270000,3
3,2.5,1940,8547,1,480,1750,7803,52,266000,3
4,2.5,2020,6236,2,0,1940,5076,78,262000,3
4,1.5,2130,8800,1,1030,1480,8120,63,260000,3
4,1.75,1730,8320,1,500,1840,9800,53,258000,3
3,1.75,1390,7399,1,0,1460,7800,71,246000,4
3,1.5,1260,7964,1,0,1510,8776,70,245000,4
2,1,1270,3008,1,620,1270,1514,72,235000,4
3,1.75,950,6000,1,160,1360,6000,51,230000,3
3,1,1390,16000,1,0,1420,10000,55,230000,4
3,2.5,1190,3000,2,0,1190,3000,61,229000,3
4,1.75,2000,6120,1,900,1880,6120,77,228000,3
4,1,2100,9200,1,1050,1540,10033,78,211000,3
3,1,1490,8995,1,0,1490,9000,54,207000,4
2,1,720,5040,1,0,1357,5120,60,205000,3
2,1.5,980,5000,2,0,1040,5000,70,134000,3
2,1,520,22334,1,0,1572,10570,69,82500,2
3,2.25,3000,11665,1.5,0,3000,15959,72,2400000,3
5,6.5,7270,130017,2,850,1800,44890,68,2240000,3
5,4.5,5190,5432,2,1800,4460,22748,64,1700000,3
4,2.75,3720,9450,1,1760,2900,8605,75,1370000,5
4,4.25,5860,52889,2,950,3320,39066,72,1160000,4
4,2.25,4230,37769,2,0,3890,37034,68,985000,3
4,3,3750,11025,2,0,2930,12835,57,920000,3
3,2.5,3560,107290,2,0,3660,89298,69,851000,3
4,3.5,3810,13592,1,1250,3230,9311,78,839900,3
4,2.75,3780,10308,2,0,3500,10740,52,833000,3
4,3.25,3540,159430,2,0,1940,392040,67,800000,3
4,2.5,2830,20345,2,850,2830,13732,80,782000,3
4,3.5,2730,3047,2,330,1980,4600,70,769900,3
4,2.75,2790,10819,2,0,3080,12603,61,765000,3
3,2.25,2950,78843,1.5,0,3880,78843,63,759000,3
4,2.75,3100,3773,2,1100,2130,3777,79,742500,3
2,2.5,2200,188200,1,0,2700,84942,78,705000,3
3,3,2480,45302,1,860,1260,14100,76,610000,4
4,2.5,2260,7753,2,0,2690,8924,72,604000,3
4,2.25,2430,32496,1,0,2750,35506,53,590000,3
4,3.25,2400,29252,2,0,2280,45000,70,585000,4
4,2.5,2660,4000,2,0,2330,4517,66,583000,3
4,2.5,2840,6268,2,0,2790,6526,74,580000,3
3,2.25,1660,10140,1,290,2100,10125,64,566000,4
4,2.25,2470,7447,2,0,2270,7400,50,565000,3
4,2.5,2840,4500,2,0,2840,4939,78,557000,3
4,2.5,2330,14289,2,0,2210,12823,57,542500,4
4,1.75,2000,4000,1.5,550,1430,4000,50,536500,5
3,1.75,1300,5413,1.5,0,1590,6380,74,536000,3
5,3,3480,57499,1,1140,2020,40946,68,532000,4
3,2.5,2030,6970,2,0,2000,6140,72,525000,4
3,2,1400,7293,1,0,1600,7960,54,511555,4
3,2.5,2100,5824,2,0,1890,4140,67,505000,3
3,1.75,1750,11340,1,450,2310,11340,76,491300,4
2,1,1840,3300,1.5,710,1320,4000,53,490000,4
3,2,1410,4800,1,0,1190,3840,51,481450,3
4,2.5,1930,9653,1,0,2100,10454,51,465000,4
2,1,1150,4400,1,0,1240,4400,64,463000,4
4,1.75,1750,5500,1.5,700,1640,5500,58,460000,5
4,2,1650,6000,1,650,1540,6000,65,445000,5
2,2,1150,6634,1,290,1680,6892,67,445000,3
4,2.25,2170,10500,1,900,2080,11019,60,431000,4
3,1,1620,30736,1.5,0,2440,28826,52,428750,4
4,2.25,3060,48787,2,0,2090,48787,65,415000,3
4,2.5,2600,11951,2,0,2820,12093,71,402500,3
3,2.25,1445,1606,2,145,1410,1286,53,387000,3
3,3.25,1410,1253,3,0,1410,1253,72,382000,3
3,2,1340,1384,3,0,1110,1384,74,376000,3
2,1,1420,81892,1,240,1490,1863,73,360000,3
3,2.25,1640,11050,1,0,1870,11050,58,352000,4
3,1.75,1780,120661,1,0,1440,25000,63,336900,4
4,2.5,1940,3784,2,0,1940,4499,71,330000,3
3,2.25,1352,1694,3,0,1439,1387,68,325000,3
4,1.5,1470,70800,1,0,1810,72337,56,325000,3
3,2.25,998,904,2,200,998,1110,71,324000,3
4,2.75,1970,7213,1,800,1980,7045,67,323000,3
4,2.25,2310,7490,2,0,2310,8480,55,320000,3
5,1.75,2320,8100,1,1160,1410,7271,75,315000,4
4,2.25,1930,7452,1,500,1714,7200,75,312000,3
4,2.25,2130,8078,1,750,2300,8112,72,311100,4
3,1.5,1060,10464,1,0,1420,10464,54,303500,4
4,2.5,2000,13300,1,800,1800,9810,57,290000,4
3,1.75,1390,8700,1,550,1390,10875,63,280950,4
4,2,2190,14439,1,1010,2160,14439,65,280000,4
3,1.5,1390,48257,1,0,1440,45302,53,275000,3
